2026-07-03 10:41:58,380 | INFO | src.attachment_extractor | Extracted attachment text (2272 chars): https://www.korea.kr/common/download.do?fileId=198493489&tblKey=GMN
2026-07-03 10:41:58,390 | INFO | src.article_enrichment | Enriched article (2137 → 4424 chars, attachments=1, plan=False): [보도자료] 김민석 국무총리 주재 선관위 개혁 관련 시민 토론회
2026-07-03 10:41:58,872 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767393 "HTTP/1.1 200 OK"
2026-07-03 10:41:59,145 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198497094&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:00,441 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198497095&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:00,795 | INFO | src.attachment_extractor | Extracted attachment text (4809 chars): https://www.korea.kr/common/download.do?fileId=198497095&tblKey=GMN
2026-07-03 10:42:00,806 | INFO | src.article_enrichment | Enriched article (1888 → 6712 chars, attachments=1, plan=False): 담뱃갑 경고그림·문구 교체로 흡연 위험성 경고 강화
2026-07-03 10:42:01,290 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767392 "HTTP/1.1 200 OK"
2026-07-03 10:42:01,622 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493813&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:01,936 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493814&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:02,353 | INFO | src.attachment_extractor | Extracted attachment text (5997 chars): https://www.korea.kr/common/download.do?fileId=198493814&tblKey=GMN
2026-07-03 10:42:02,363 | INFO | src.article_enrichment | Enriched article (4548 → 12069 chars, attachments=1, plan=False): 응급환자 이송체계 혁신 시범사업, 3개월간 응급실 미수용 '0건'
2026-07-03 10:42:02,869 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767399 "HTTP/1.1 200 OK"
2026-07-03 10:42:03,130 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493418&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:03,996 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493419&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:04,228 | INFO | src.attachment_extractor | Extracted attachment text (1896 chars): https://www.korea.kr/common/download.do?fileId=198493419&tblKey=GMN
2026-07-03 10:42:04,231 | INFO | src.article_enrichment | Enriched article (1174 → 3085 chars, attachments=1, plan=False): 올여름 가장 시원한 여행… 주왕산 절골계곡과 한려해상 섬으로 오세요
2026-07-03 10:42:04,776 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767398 "HTTP/1.1 200 OK"
2026-07-03 10:42:05,088 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493416&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:05,886 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493417&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:06,120 | INFO | src.attachment_extractor | Extracted attachment text (3986 chars): https://www.korea.kr/common/download.do?fileId=198493417&tblKey=GMN
2026-07-03 10:42:06,130 | INFO | src.article_enrichment | Enriched article (1938 → 5939 chars, attachments=1, plan=False): 주거·교육 공간 중심으로 생활폐기물 수집·운반 안전기준 개선한다
2026-07-03 10:42:06,600 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767397 "HTTP/1.1 200 OK"
2026-07-03 10:42:06,898 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493410&tblKey=GMN "HTTP/1.1 200 OK"
